	[INFO]	Query view for “WeirdAl” opened.
	aw1	Might even be faster and is more direct.
	aw1	Now, I do have some concerns.
	aw1	E.g., if we have an augmented DOM it's all nice and flashy. But at the end of the editing session, we need a way to serialze the DOM again, thereby stripping our stuff.
	WeirdAl	listens
	aw1	And stripping out ONLY our spans, and not something the user had added by himself.
	aw1	Of course, we could handle that with a special namespace.
	WeirdAl	we don't even need to do that
	aw1	No?
	WeirdAl	DOM 2 Range to the rescue - recall what the user sees is a contentDocument of the editor
	aw1	Yep.
	aw1	And now?
	WeirdAl	DOM 2 Range can get the text of that document - which is the user's source code - and deliver that to the XUL app
	aw1	Hmmmm.
	WeirdAl	so all our fancy spans get filtered out anyway
	aw1	needs to read more aobut Ranges first
	aw1	But if it works as you say, this would solve that problem.
	WeirdAl	well, it might not even require that much - if the editor's value property remains consistent, we don't have to do anything but get the value.
	aw1	value property?
	WeirdAl	err wait a sec
	WeirdAl	whoops, I confused HTMLInputElement's value with the editor having a value :)
	aw1	can't find a value property on nsIEditor nor on nsIPlaintextEditor
	aw1	Ah, ok.
	aw1	Now, the problem with editor is that it operates directly on the model and inserts it's presentation and handling stuff.
	aw1	That's what enervates me most about editor.
	aw1	Although it sports a serialization method, which filters out all the internal attribute it has added.
	aw1	outputToString(), that is
	aw1	or stream, depening on where you want to run off to with the content.
	aw1	Now, unfortunately, I have to head home, since I have to catch the last bus (and get me some dinner somewhere...). I'll persist that conversation, and try to reach you over the weekend again.
	aw1	Thanks a lot for the insightful talk, and it would be nice if we could come up with something as useful as possible! :)
	aw1	Ok, gotta go, the bus isn't waiting for me... ;)
